cod;denumire;denumire_scurta
02032110;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — În carcase sau semicarcase — De la animale domestice din specia porcine";"De la animale domestice din specia porcine"
02032190;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — În carcase sau semicarcase — Altele";Altele
02032211;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Jamboane, spete și părți din acestea, nedezosate — De la animale domestice din specia porcine — Jamboane și părți din acestea";"Jamboane și părți din acestea"
02032219;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Jamboane, spete și părți din acestea, nedezosate — De la animale domestice din specia porcine — Spete și părți din acestea";"Spete și părți din acestea"
02032290;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Jamboane, spete și părți din acestea, nedezosate — Altele";Altele
02032911;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Altele — De la animale domestice din specia porcine — Părți anterioare și părți din acestea";"Părți anterioare și părți din acestea"
02032913;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Altele — De la animale domestice din specia porcine — Spinări și părți din acestea, nedezosate";"Spinări și părți din acestea, nedezosate"
02032915;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Altele — De la animale domestice din specia porcine — Piept (împănat) și părți de piept";"Piept (împănat) și părți de piept"
02032955;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Altele — De la animale domestice din specia porcine — Dezosate";Dezosate
02032959;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Altele — De la animale domestice din specia porcine";Altele
02032990;"Carne de animale din specia porcine, proaspătă, refrigerată sau congelată — Congelată — Altele";Altele
02041000;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carcase și semicarcase de miel, proaspete sau refrigerate";"Carcase și semicarcase de miel, proaspete sau refrigerate"
02042100;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, proaspătă sau refrigerată — În carcase sau semicarcase";"În carcase sau semicarcase"
02042210;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, proaspătă sau refrigerată — Alte părți nedezosate — Cască sau semicască";"Cască sau semicască"
02042230;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, proaspătă sau refrigerată — Alte părți nedezosate — Spinali și/sau șa sau semispinali și/sau semișa";"Spinali și/sau șa sau semispinali și/sau semișa"
02042250;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, proaspătă sau refrigerată — Alte părți nedezosate — Chiulotă sau semichiulotă";"Chiulotă sau semichiulotă"
02042290;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, proaspătă sau refrigerată — Alte părți nedezosate — Altele";Altele
02042300;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, proaspătă sau refrigerată — Dezosată";Dezosată
02043000;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carcase și semicarcase de miel, congelate";"Carcase și semicarcase de miel, congelate"
02044100;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, congelată — În carcase sau semicarcase";"În carcase sau semicarcase"
02044210;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, congelată — Alte părți nedezosate — Cască sau semicască";"Cască sau semicască"
02044230;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, congelată — Alte părți nedezosate — Spinali și/sau șa sau semispinali și/sau semișa";"Spinali și/sau șa sau semispinali și/sau semișa"
02044250;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, congelată — Alte părți nedezosate — Chiulotă sau semichiulotă";"Chiulotă sau semichiulotă"
02044290;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, congelată — Alte părți nedezosate — Altele";Altele
02044310;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, congelată — Dezosată — De miel";"De miel"
02044390;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Altă carne de animale din specia ovine, congelată — Dezosată — Altele";Altele
02045011;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Proaspătă sau refrigerată — Carcase sau semicarcase";"Carcase sau semicarcase"
02045013;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Proaspătă sau refrigerată — Cască sau semicască";"Cască sau semicască"
02045015;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Proaspătă sau refrigerată — Spinali și/sau șa sau semispinali și/sau semișa";"Spinali și/sau șa sau semispinali și/sau semișa"
02045019;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Proaspătă sau refrigerată — Chiulotă sau semichiulotă";"Chiulotă sau semichiulotă"
02045031;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Proaspătă sau refrigerată — Altele — Bucăți nedezosate";"Bucăți nedezosate"
02045039;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Proaspătă sau refrigerată — Altele — Bucăți dezosate";"Bucăți dezosate"
02045051;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Congelată — Carcase sau semicarcase";"Carcase sau semicarcase"
02045053;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Congelată — Cască sau semicască";"Cască sau semicască"
02045055;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Congelată — Spinali și/sau șa sau semispinali și/sau semișa";"Spinali și/sau șa sau semispinali și/sau semișa"
02045059;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Congelată — Chiulotă sau semichiulotă";"Chiulotă sau semichiulotă"
02045071;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Congelată — Altele — Bucăți nedezosate";"Bucăți nedezosate"
02045079;"Carne de animale din speciile ovine sau caprine, proaspătă, refrigerată sau congelată — Carne de animale din specia caprine — Congelată — Altele — Bucăți dezosate";"Bucăți dezosate"
