cod;denumire;denumire_scurta
84192000;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Sterilizatoare medico-chirurgicale sau de laborator";"Sterilizatoare medico-chirurgicale sau de laborator"
84193300;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Uscătoare — Aparat de liofilizare, aparate de criodesicare și uscătoare prin pulverizare";"Aparat de liofilizare, aparate de criodesicare și uscătoare prin pulverizare"
84193400;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Uscătoare — Altele, pentru produse agricole";"Altele, pentru produse agricole"
84193500;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Uscătoare — Altele, pentru lemn, pastă de hârtie, hârtie sau carton";"Altele, pentru lemn, pastă de hârtie, hârtie sau carton"
84193900;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Uscătoare — Altele";Altele
84194000;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Aparate de distilare sau de rectificare";"Aparate de distilare sau de rectificare"
84195020;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Schimbătoare de căldură — Schimbătoare de căldură făcute din fluorpolimeri și cu orificii pentru tuburi de intrare și ieșire având diametre interioare de maximum 3 cm";"Schimbătoare de căldură făcute din fluorpolimeri și cu orificii pentru tuburi de intrare și ieșire având diametre interioare de maximum 3 cm"
84195080;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Schimbătoare de căldură — Altele";Altele
84196000;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Aparate și dispozitive pentru lichefierea aerului sau a altor gaze";"Aparate și dispozitive pentru lichefierea aerului sau a altor gaze"
84198120;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Alte aparate și dispozitive — Pentru prepararea băuturilor calde, gătirea sau încălzirea alimentelor — Filtre și alte aparate pentru prepararea cafelei și a altor băuturi calde";"Filtre și alte aparate pentru prepararea cafelei și a altor băuturi calde"
84198180;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Alte aparate și dispozitive — Pentru prepararea băuturilor calde, gătirea sau încălzirea alimentelor — Altele";Altele
84198910;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Alte aparate și dispozitive — Altele — Turnuri de răcire și dispozitive similare pentru răcire directă (fără perete despărțitor), prin recircularea apei";"Turnuri de răcire și dispozitive similare pentru răcire directă (fără perete despărțitor), prin recircularea apei"
84198930;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Alte aparate și dispozitive — Altele — Aparate și dispozitive de metalizare sub vid";"Aparate și dispozitive de metalizare sub vid"
84198998;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Alte aparate și dispozitive — Altele";Altele
84199015;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Părți — Pentru sterilizatoarele de la subpoziția 84192000";"Pentru sterilizatoarele de la subpoziția 84192000"
84199085;"Aparate și dispozitive, chiar încălzite electric (cu excepția furnalelor, cuptoarelor și a altor aparate de la poziția 8514), pentru prelucrarea materialelor prin operații ce implică o schimbare a temperaturii cum sunt: încălzirea, coacerea, fierberea, prăjirea, distilarea, rectificarea, sterilizarea, pasteurizarea, etuvarea, uscarea, evaporarea, vaporizarea, condensarea sau răcirea, altele decât aparatele de uz casnic; încălzitoare de apă neelectrice, cu încălzire instantanee sau cu stocare — Părți — Altele";Altele
84201010;"Calandre și laminoare, altele decât cele pentru metale sau sticlă și cilindri pentru aceste mașini — Calandre și laminoare — De tipul celor folosite în industria textilă";"De tipul celor folosite în industria textilă"
84201030;"Calandre și laminoare, altele decât cele pentru metale sau sticlă și cilindri pentru aceste mașini — Calandre și laminoare — De tipul celor folosite în industria hârtiei";"De tipul celor folosite în industria hârtiei"
84201081;"Calandre și laminoare, altele decât cele pentru metale sau sticlă și cilindri pentru aceste mașini — Calandre și laminoare — Altele — Laminoare cu rulouri de tipul celor utilizate numai sau în principal pentru fabricarea substraturilor pentru circuitele imprimate sau a circuitelor imprimate";"Laminoare cu rulouri de tipul celor utilizate numai sau în principal pentru fabricarea substraturilor pentru circuitele imprimate sau a circuitelor imprimate"
84201089;"Calandre și laminoare, altele decât cele pentru metale sau sticlă și cilindri pentru aceste mașini — Calandre și laminoare — Altele";Altele
84209110;"Calandre și laminoare, altele decât cele pentru metale sau sticlă și cilindri pentru aceste mașini — Părți — Cilindri — Din fontă";"Din fontă"
84209180;"Calandre și laminoare, altele decât cele pentru metale sau sticlă și cilindri pentru aceste mașini — Părți — Cilindri — Altele";Altele
84209900;"Calandre și laminoare, altele decât cele pentru metale sau sticlă și cilindri pentru aceste mașini — Părți — Altele";Altele
84211100;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Centrifuge, inclusiv uscătoare centrifugale — Centrifuge pentru smântânire";"Centrifuge pentru smântânire"
84211200;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Centrifuge, inclusiv uscătoare centrifugale — Uscătoare de rufe";"Uscătoare de rufe"
84211920;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Centrifuge, inclusiv uscătoare centrifugale — Altele — Centrifuge de tipule celor utilizate în laboratoare";"Centrifuge de tipule celor utilizate în laboratoare"
84211970;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Centrifuge, inclusiv uscătoare centrifugale — Altele";Altele
84212100;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  lichidelor — Pentru filtrarea sau purificarea  apei";"Pentru filtrarea sau purificarea  apei"
84212200;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  lichidelor — Pentru filtrarea sau purificarea  băuturilor, altele decât apa";"Pentru filtrarea sau purificarea  băuturilor, altele decât apa"
84212300;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  lichidelor — Pentru filtrarea uleiurilor minerale în motoare cu aprindere prin scânteie sau prin compresie";"Pentru filtrarea uleiurilor minerale în motoare cu aprindere prin scânteie sau prin compresie"
84212920;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  lichidelor — Altele — Făcute din fluopolimeri și cu filtru sau grosime a membranei de purificare  de maximum 140 de microni";"Făcute din fluopolimeri și cu filtru sau grosime a membranei de purificare  de maximum 140 de microni"
84212980;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  lichidelor — Altele";Altele
84213100;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  gazelor — Filtre de aer pentru motoarele cu aprindere prin scânteie sau prin compresie";"Filtre de aer pentru motoarele cu aprindere prin scânteie sau prin compresie"
84213200;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  gazelor — Convertoare catalitice sau filtre de particule, combinate sau nu, pentru purificarea sau filtrarea gazelor de evacuare provenite de la motoarele cu ardere internă";"Convertoare catalitice sau filtre de particule, combinate sau nu, pentru purificarea sau filtrarea gazelor de evacuare provenite de la motoarele cu ardere internă"
84213915;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  gazelor — Altele — Cu carcasă din oțel inoxidabil și cu orificii pentru tuburi de intrare și ieșire având diametre interioare de maximum 1,3 cm";"Cu carcasă din oțel inoxidabil și cu orificii pentru tuburi de intrare și ieșire având diametre interioare de maximum 1,3 cm"
84213925;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  gazelor — Altele — Aparate pentru filtrarea sau purificarea aerului";"Aparate pentru filtrarea sau purificarea aerului"
84213935;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  gazelor — Altele — Aparate pentru filtrarea sau purificarea altor gaze — Prin procedee catalitice";"Prin procedee catalitice"
84213985;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Aparate pentru filtrarea sau purificarea  gazelor — Altele — Aparate pentru filtrarea sau purificarea altor gaze";Altele
84219100;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Părți — De centrifuge, inclusiv de uscătoare centrifugale";"De centrifuge, inclusiv de uscătoare centrifugale"
84219910;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Părți — Altele — Părți de mașini și aparate de la subpozițiile 84212920 sau 84213915";"Părți de mașini și aparate de la subpozițiile 84212920 sau 84213915"
84219990;"Centrifuge, inclusiv uscătoare centrifugale; mașini și aparate pentru purificarea sau epurarea lichidelor sau gazelor — Părți — Altele";Altele
84221100;"Mașini pentru spălat vesela; mașini și aparate pentru curățat sau uscat sticle sau alte recipiente; mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate pentru capsulat sticle, borcane, tuburi sau recipiente similare; alte mașini și aparate de împachetat sau ambalat mărfuri (inclusiv mașini și aparate de ambalat în folie termoretractabilă); mașini și aparate pentru gazeificarea (acidularea) băuturilor — Mașini pentru spălat vesela — De uz casnic";"De uz casnic"
84221900;"Mașini pentru spălat vesela; mașini și aparate pentru curățat sau uscat sticle sau alte recipiente; mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate pentru capsulat sticle, borcane, tuburi sau recipiente similare; alte mașini și aparate de împachetat sau ambalat mărfuri (inclusiv mașini și aparate de ambalat în folie termoretractabilă); mașini și aparate pentru gazeificarea (acidularea) băuturilor — Mașini pentru spălat vesela — Altele";Altele
84222000;"Mașini pentru spălat vesela; mașini și aparate pentru curățat sau uscat sticle sau alte recipiente; mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate pentru capsulat sticle, borcane, tuburi sau recipiente similare; alte mașini și aparate de împachetat sau ambalat mărfuri (inclusiv mașini și aparate de ambalat în folie termoretractabilă); mașini și aparate pentru gazeificarea (acidularea) băuturilor — Mașini și aparate pentru curățat sau uscat sticle sau alte recipiente";"Mașini și aparate pentru curățat sau uscat sticle sau alte recipiente"
84223000;"Mașini pentru spălat vesela; mașini și aparate pentru curățat sau uscat sticle sau alte recipiente; mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate pentru capsulat sticle, borcane, tuburi sau recipiente similare; alte mașini și aparate de împachetat sau ambalat mărfuri (inclusiv mașini și aparate de ambalat în folie termoretractabilă); mașini și aparate pentru gazeificarea (acidularea) băuturilor — Mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate de capsulat sticle, borcane, tuburi sau recipiente similare; mașini și aparate pentru gazeificarea băuturilor";"Mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate de capsulat sticle, borcane, tuburi sau recipiente similare; mașini și aparate pentru gazeificarea băuturilor"
84224000;"Mașini pentru spălat vesela; mașini și aparate pentru curățat sau uscat sticle sau alte recipiente; mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate pentru capsulat sticle, borcane, tuburi sau recipiente similare; alte mașini și aparate de împachetat sau ambalat mărfuri (inclusiv mașini și aparate de ambalat în folie termoretractabilă); mașini și aparate pentru gazeificarea (acidularea) băuturilor — Alte mașini și aparate de împachetat sau de ambalat mărfurile (inclusiv mașinile și aparatele de ambalat în folie termoretractabilă)";"Alte mașini și aparate de împachetat sau de ambalat mărfurile (inclusiv mașinile și aparatele de ambalat în folie termoretractabilă)"
84229010;"Mașini pentru spălat vesela; mașini și aparate pentru curățat sau uscat sticle sau alte recipiente; mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate pentru capsulat sticle, borcane, tuburi sau recipiente similare; alte mașini și aparate de împachetat sau ambalat mărfuri (inclusiv mașini și aparate de ambalat în folie termoretractabilă); mașini și aparate pentru gazeificarea (acidularea) băuturilor — Părți — De mașini de spălat vesela";"De mașini de spălat vesela"
84229090;"Mașini pentru spălat vesela; mașini și aparate pentru curățat sau uscat sticle sau alte recipiente; mașini și aparate pentru umplut, închis, astupat sau etichetat sticle, cutii, saci sau alte recipiente; mașini și aparate pentru capsulat sticle, borcane, tuburi sau recipiente similare; alte mașini și aparate de împachetat sau ambalat mărfuri (inclusiv mașini și aparate de ambalat în folie termoretractabilă); mașini și aparate pentru gazeificarea (acidularea) băuturilor — Părți — Altele";Altele
84231010;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Cântare de persoane, inclusiv cântare pentru sugari; cântare de uz casnic — Balanțe de uz casnic";"Balanțe de uz casnic"
84231090;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Cântare de persoane, inclusiv cântare pentru sugari; cântare de uz casnic — Altele";Altele
84232010;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Bascule pentru cântărire continuă a mărfurilor transportate pe bandă — Care utilizează mijloace electronice de calibrare a greutății";"Care utilizează mijloace electronice de calibrare a greutății"
84232090;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Bascule pentru cântărire continuă a mărfurilor transportate pe bandă — Altele";Altele
84233010;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Bascule pentru cântăriri constante, balanțe și bascule de însăcuire sau de dozare — Care utilizează mijloace electronice de calibrare a greutății";"Care utilizează mijloace electronice de calibrare a greutății"
84233090;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Bascule pentru cântăriri constante, balanțe și bascule de însăcuire sau de dozare — Altele";Altele
84238121;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Cu o capacitate de cântărit de maximum 30 kg — Care utilizează mijloace electronice de calibrare a greutății — Instrumente de control prin referință la o greutate predeterminată, cu funcționare automată, inclusiv mașinile de sortat după greutate";"Instrumente de control prin referință la o greutate predeterminată, cu funcționare automată, inclusiv mașinile de sortat după greutate"
84238123;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Cu o capacitate de cântărit de maximum 30 kg — Care utilizează mijloace electronice de calibrare a greutății — Aparate și instrumente de cântărit și etichetat produsele preambalate";"Aparate și instrumente de cântărit și etichetat produsele preambalate"
84238125;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Cu o capacitate de cântărit de maximum 30 kg — Care utilizează mijloace electronice de calibrare a greutății — Balanțe de magazin";"Balanțe de magazin"
84238129;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Cu o capacitate de cântărit de maximum 30 kg — Care utilizează mijloace electronice de calibrare a greutății — Altele";Altele
84238180;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Cu o capacitate de cântărit de maximum 30 kg — Altele";Altele
84238220;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Cu o capacitate de cântărit de peste 30 kg, dar de maximum 5000 kg — Care utilizează mijloace electronice de calibrare a greutății, cu excepția aparatelor și instrumentelor de cântărit autovehicule";"Care utilizează mijloace electronice de calibrare a greutății, cu excepția aparatelor și instrumentelor de cântărit autovehicule"
84238281;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Cu o capacitate de cântărit de peste 30 kg, dar de maximum 5000 kg — Altele — Instrumente de control prin referință la o greutate predeterminată, cu funcționare automată, inclusiv mașinile de sortat după greutate";"Instrumente de control prin referință la o greutate predeterminată, cu funcționare automată, inclusiv mașinile de sortat după greutate"
84238289;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Cu o capacitate de cântărit de peste 30 kg, dar de maximum 5000 kg — Altele";Altele
84238920;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Altele — Care utilizează mijloace electronice de calibrare a greutății";"Care utilizează mijloace electronice de calibrare a greutății"
84238980;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Alte aparate și instrumente de cântărit — Altele";Altele
84239010;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Greutăți pentru orice tip de balanțe; părți de aparate sau instrumente de cântărit — Părți de aparate și instrumente de cântărit de la subpozițiile 84232010,  84233010, 84238121, 84238123, 84238125, 84238129, 84238220 sau 84238920";"Părți de aparate și instrumente de cântărit de la subpozițiile 84232010,  84233010, 84238121, 84238123, 84238125, 84238129, 84238220 sau 84238920"
84239090;"Aparate și instrumente de cântărit, inclusiv bascule și balanțe pentru verificat piese industriale, cu excepţia balanţelor sensibile la o greutate de 5 cg sau mai mică; greutăți de cântărit pentru orice balanțe — Greutăți pentru orice tip de balanțe; părți de aparate sau instrumente de cântărit — Altele";Altele
84241000;"Aparate mecanice (inclusiv cele manevrate manual) pentru proiectat, dispersat sau pulverizat lichide sau pulberi; extinctoare, chiar încărcate; aerografe și aparate similare; mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Extinctoare, chiar încărcate";"Extinctoare, chiar încărcate"
84242000;"Aparate mecanice (inclusiv cele manevrate manual) pentru proiectat, dispersat sau pulverizat lichide sau pulberi; extinctoare, chiar încărcate; aerografe și aparate similare; mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Aerografe și aparate similare";"Aerografe și aparate similare"
84243001;"Aparate mecanice (inclusiv cele manevrate manual) pentru proiectat, dispersat sau pulverizat lichide sau pulberi; extinctoare, chiar încărcate; aerografe și aparate similare; mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Aparate de curățire cu apă, cu motor încorporat — Echipate cu dispozitiv de încălzit";"Echipate cu dispozitiv de încălzit"
84243008;"Aparate mecanice (inclusiv cele manevrate manual) pentru proiectat, dispersat sau pulverizat lichide sau pulberi; extinctoare, chiar încărcate; aerografe și aparate similare; mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Aparate de curățire cu apă, cu motor încorporat — Altele";Altele
84243010;"Aparate mecanice (inclusiv cele manevrate manual) pentru proiectat, dispersat sau pulverizat lichide sau pulberi; extinctoare, chiar încărcate; aerografe și aparate similare; mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Alte mașini și aparate — Cu aer comprimat";"Cu aer comprimat"
84243090;"Aparate mecanice (inclusiv cele manevrate manual) pentru proiectat, dispersat sau pulverizat lichide sau pulberi; extinctoare, chiar încărcate; aerografe și aparate similare; mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Mașini și aparate cu jet de nisip, cu jet de vapori și aparate similare cu jet — Alte mașini și aparate — Altele";Altele
